delta_mu_ev,temperature_k,mu_e_ev,du_dt_intra_w_cm3,p_th_model_w_cm3,q_s_cm1,tau_c_lo_energy_s,delta_mu_carrier_statistics_model
1.0656004389782303,360.0,0.5796371158653442,-17928266.67378975,17928266.67378975,190492.07497541665,7.07053479183927e-07,fd
1.0656004389782303,365.0,0.5802936710557072,-20751486.511860225,20751486.511860225,198883.6151524306,6.614048622946176e-07,fd
1.0656004389782303,370.0,0.5809507068493422,-23826860.973841242,23826860.973841242,207414.19192454594,6.201821641572567e-07,fd
1.0656004389782303,375.0,0.5816082407646632,-27163178.485004812,27163178.485004812,216079.9431988702,5.828373290521253e-07,fd
1.0656004389782303,380.0,0.5822662896990232,-30769002.880090933,30769002.880090933,224877.04191548907,5.489027575460165e-07,fd
1.0656004389782303,385.0,0.582924870564712,-34652679.05843009,34652679.05843009,233801.70337691825,5.179779409886239e-07,fd
1.0656004389782303,390.0,0.5835839999209924,-38822337.164479844,38822337.164479844,242850.1886811904,4.897185384564434e-07,fd
1.0656004389782303,395.0,0.5842436941321918,-43285896.2845358,43285896.2845358,252018.8093382011,4.6382740240930336e-07,fd
1.0656004389782303,400.0,0.584903969368501,-48051067.429629564,48051067.429629564,261303.93085272468,4.400471862234415e-07,fd
1.0656004389782303,405.0,0.5855648410686751,-53125355.50093879,53125355.50093879,270701.9737403842,4.181542363005294e-07,fd
1.0656004389782303,410.0,0.5862263252325052,-58516062.671852104,58516062.671852104,280209.42107668845,3.97953509785181e-07,fd
1.0656004389782303,415.0,0.5868884368113384,-64230288.77493292,64230288.77493292,289822.81455885974,3.792743657569598e-07,fd
1.0656004389782303,420.0,0.5875511904644595,-70274933.78417899,70274933.78417899,299538.75914965157,3.6196703099832296e-07,fd
1.0656004389782303,425.0,0.5882146006100484,-76656699.69703308,76656699.69703308,309353.92479868035,3.4589964285897025e-07,fd
1.0656004389782303,430.0,0.5888786818749953,-83382093.064584,83382093.064584,319265.0496001301,3.30955759741659e-07,fd
1.0656004389782303,435.0,0.5895434474312504,-90457424.62234047,90457424.62234047,329268.93361406756,3.1703227201287957e-07,fd
1.0656004389782303,440.0,0.590208910789478,-97888813.74035685,97888813.74035685,339362.4470695008,3.0403761380086196e-07,fd
1.0656004389782303,445.0,0.5908750849210849,-105682189.40677097,105682189.40677097,349542.52706086455,2.918902586734276e-07,fd
1.0656004389782303,450.0,0.591541982339273,-113843292.60426168,113843292.60426168,359806.178048033,2.8051743252270803e-07,fd
1.0656004389782303,455.0,0.5922096153955727,-122377679.29069425,122377679.29069425,370150.4732277526,2.6985401249332935e-07,fd
1.0656004389782303,460.0,0.5928779955732105,-131290721.6571534,131290721.6571534,380572.5510650778,2.598415871839554e-07,fd
1.0656004389782303,465.0,0.5935471344040001,-140587612.55172607,140587612.55172607,391069.6192576588,2.504276417153179e-07,fd
1.0656004389782303,470.0,0.5942170425602752,-150273366.490214,150273366.490214,401638.94995492033,2.415648621299213e-07,fd
1.0656004389782303,475.0,0.5948877305904079,-160352824.06933984,160352824.06933984,412277.8827060434,2.332105275029082e-07,fd
1.0656004389782303,480.0,0.595559208848586,-170830654.95848888,170830654.95848888,422983.8235275347,2.2532598580065436e-07,fd
1.0656004389782303,485.0,0.5962314865626687,-181711358.6830547,181711358.6830547,433754.23936938087,2.178762007050961e-07,fd
1.0656004389782303,490.0,0.5969045732462419,-192999271.19093606,192999271.19093606,444586.6644165819,2.1082934905533583e-07,fd
1.0656004389782303,495.0,0.5975784777805193,-204698565.84502453,204698565.84502453,455478.69451867917,2.0415647625498235e-07,fd
1.0656004389782303,500.0,0.5982532083340861,-216813256.27827826,216813256.27827826,466427.9856781226,1.978311916317333e-07,fd
1.0656004389782303,505.0,0.5989287729531629,-229347201.27706447,229347201.27706447,477432.25613147987,1.918293991051961e-07,fd
1.0656004389782303,510.0,0.5996051795114443,-242304108.05505863,242304108.05505863,488489.2850852697,1.8612906189118152e-07,fd
1.0656004389782303,515.0,0.6002824347498668,-255687532.45007816,255687532.45007816,499596.9062665268,1.8070999701678284e-07,fd
1.0656004389782303,520.0,0.6009605457929956,-269500886.9805817,269500886.9805817,510753.01514836407,1.7555368768632948e-07,fd
